sku,prod,brand,rev90,n_ten,n_ord,fonte,erp_stock,supplier_stock,pos,costo,prezzo,comp_min,n_comp,floor_price,target_price,ricarico_target_pct,verdetto,cut_needed
988925475,YOVIS CAPS 20CPS,YOV,1374.40,7,56,MAGAZZINO,2,473,,16.03,19.47,18.72,60,18.27,18.71,16.7,VIA_PC,0.76
972471597,RUBAXX ARTICOLAZIONI 30BUST,"",1370.23,5,19,grossista,0,200,10,40.50,46.56,43.95,44,45.36,43.94,8.5,NON_POSIZIONABILE,0
940012762,ELYANNA 30STICK PACK,"",1350.54,3,25,grossista,0,306,,23.29,0.00,30.87,22,26.55,30.86,32.5,REINSERISCI_prezzo_fb,0
986486088,UROIAL PLUS 14BUST,"",1343.53,6,31,grossista,0,1354,12,20.78,24.32,23.54,43,23.69,23.53,13.2,NON_POSIZIONABILE,0
945155380,VISURETIN 30CPS,VIU,1339.52,5,28,MAGAZZINO,1,695,,21.27,24.89,24.80,37,24.25,24.79,16.5,VIA_PC,0.10
912321080,PHYTO CORRECTIVE 30ML,SKI,1336.32,1,13,grossista,0,11,,75.15,90.18,67.21,27,84.17,67.20,-10.6,NON_POSIZIONABILE,0
941079042,ARTIKRILL DOL CANE 60PRL,1R2,1330.56,8,47,grossista,0,1141,10,21.15,24.87,25.48,51,24.11,25.47,20.4,STANDALONE,0
940005212,MATERPLUS 1 90CPS,"",1325.48,6,34,grossista,0,147,,33.66,0.00,40.28,28,37.70,40.27,19.6,REINSERISCI_prezzo_fb,0
931160485,AUSILIUM FORTE 300G,0I5,1324.36,4,20,grossista,0,105,7,63.82,74.02,73.17,30,71.48,73.16,14.6,VIA_PC,0.86
986117570,CARDIORITMON COLESTEROLO 30CPS,"",1320.95,8,49,MAGAZZINO,1,3397,,19.80,23.17,19.77,68,22.57,19.76,-0.2,NON_POSIZIONABILE,0
984790319,KANADOL 50CPR,"",1319.56,5,34,grossista,0,1734,,25.26,30.31,27.65,39,28.80,27.64,9.4,NON_POSIZIONABILE,0
950453997,CITICOOS 1000 15FL,"",1311.23,4,16,grossista,0,101,,28.06,0.00,34.89,20,31.99,34.88,24.3,REINSERISCI_prezzo_fb,0
938650025,BIONECT START UNGUENTO 30G,BPT,1310.98,5,35,grossista,0,846,,15.13,18.15,18.64,46,17.25,18.63,23.1,STANDALONE,0
977668134,INOFERT HP 20BUST,I00,1301.05,3,29,MAGAZZINO,1,759,,16.89,19.76,19.43,45,19.25,19.42,15.0,VIA_PC,0.34
947073969,RILASTIL SUN SYS TRANSP SPF50+,RIL,1291.12,8,89,MAGAZZINO,1,194,,14.92,17.76,14.48,47,17.01,14.47,-3.0,NON_POSIZIONABILE,0
900095769,MELIVEN PLUS 20SOFTGEL,MLV,1284.90,4,27,grossista,0,443,,14.50,16.53,18.18,47,16.53,18.17,25.3,STANDALONE,0
945150668,OLIGO MAG PLUS 100TAV,SLG,1277.88,10,46,grossista,0,961,,18.37,21.59,21.25,60,20.94,21.24,15.6,VIA_PC,0.35
949793374,PROSTADEP PLUS 60SOFTGEL,"",1264.90,3,22,grossista,0,16,,34.71,0.00,40.22,25,38.88,40.21,15.8,REINSERISCI_prezzo_fb,0
934510381,FERPROST FORTE 15CPS MOLLI,"",1263.23,6,25,grossista,0,802,10,17.23,19.85,21.30,42,19.64,21.29,23.6,STANDALONE,0
951036173,MARIAL PLUS 20STICK 15ML,"",1258.95,7,38,grossista,0,248,,15.19,0.00,20.70,34,17.32,20.69,36.2,REINSERISCI_prezzo_fb,0
029032087,CODEX*30CPS 5MLD 250MG,CDX,1254.36,8,76,MAGAZZINO,2,890,,13.48,16.44,13.89,61,15.36,13.88,3.0,NON_POSIZIONABILE,0
904932163,LUTEIN OMEGA3 30CPS,LUI,1251.51,5,23,grossista,0,616,,16.61,19.93,20.50,42,18.94,20.49,23.4,STANDALONE,0
