Pager usage is off.
Output format is csv.
sku,prod,stk,ss,val,pos,clk,cost30,vende_rete,prot_stock,categoria
982501468,ARTISALUS ACT FORTE PLUS 60CPS,0,136,7.99,5,5,1.39,t,f,HELD_rete_pos
972256642,CALCIOK2 30STICK PACK,0,171,15.94,1,5,1.39,t,f,HELD_rete_pos
987377090,VIDROSOL 1000 30CPR,0,370,15.16,8,5,1.39,t,f,HELD_rete_pos
022632107,NEOBOROCILLINA*20PAST S/Z,34,150,6.26,2,5,1.39,t,t,HELD_basket
029500030,CIBALGINA DUE FAST*12CPR 200MG,0,19,5.52,1,5,1.39,t,f,HELD_rete_pos
008997064,DULCOLAX*40CPR RIV 5MG,99,150,9.07,8,5,1.39,t,f,HELD_basket
975020583,AVENE DERMABSOLU CONT OCCHI,0,7,35.83,3,5,1.39,t,f,HELD_basket
980143236,MICROLIFE MISUR PRESS B3 AFIB,8,0,55.87,4,5,1.39,f,f,HELD_basket
987269038,MERIDOL COLLUTORIO PAROD 400ML,3,298,5.85,1,5,1.39,t,f,HELD_basket
986112934,KIJIMEA REGULARIS PLUS 225G,0,53,21.67,10,5,1.39,t,f,HELD_rete_pos
931988289,CER MEDS TNT FIX 1000X10CM,0,53,4.95,2,5,1.39,f,f,GROSSISTA_netto
043850015,GYNOCANESTEN MONO*1CPSVAG500MG,4,175,13.52,7,5,1.39,t,f,HELD_rete_pos
989874298,ALPECIN GREY ATTACK SHAMPOO,0,150,15.53,8,5,1.39,t,f,HELD_rete_pos
931855757,CREMA BARRIERA STOMIA 60G,0,43,7.12,3,5,1.39,f,f,GROSSISTA_netto
987333616,DERMOVITAMINA CALM BURRO CORPO,3,77,12.40,1,5,1.39,f,f,MAGAZZINO_netto
950216806,LAILA DORMIBENE 30CPR,12,462,7.94,8,5,1.39,t,f,HELD_basket
908043209,AMUCHINA 100% 1000ML,0,910,6.68,6,5,1.39,t,f,HELD_rete_pos
985771777,LACTOFLORENE PANCIA PIAT20BUST,8,1024,9.14,4,5,1.39,t,f,HELD_basket
987259660,PROBIOTICO ACT GONFIORE 10BUST,10,14,5.64,5,5,1.39,t,t,HELD_rete_pos
989015185,KALANIT 3 60CPR S/ZUCCHERI,0,244,37.10,10,5,1.39,t,f,HELD_basket
980454680,VIDERMINA GEL INTIMO NF 30ML,0,174,12.54,7,5,1.39,t,f,HELD_rete_pos
984703773,COLLAFORCE SUPER 10000 450G,0,67,18.01,4,5,1.39,t,f,HELD_rete_pos
942845607,LIVEDREN CREMA 200ML,0,137,15.58,1,5,1.39,t,f,HELD_rete_pos
942828765,MGK VIS JUNIOR ARANCIA 10BUST,0,177,10.42,5,5,1.39,f,f,HELD_basket
925565816,OBEVIS 180PAST,0,8,20.44,5,5,1.39,t,f,HELD_rete_pos
971089192,GYNOCANESBALANCE GEL VAG 7FL,3,148,13.72,4,5,1.39,t,f,HELD_rete_pos
982178093,ESI SERENESI GOCCE 50ML,17,0,10.18,1,5,1.39,f,t,MAGAZZINO_netto
979097538,HYALO GYN GEL 10APPL MONODOSE,8,1033,15.94,8,5,1.39,t,f,HELD_basket
951507779,POLASE PLUS CARNITINA PRO24BUS,10,0,10.91,5,5,1.39,t,f,HELD_rete_pos
974088852,EKEEP K1 POSTURE KEEPER D BI 4,4,3,75.90,1,4,1.11,f,f,HELD_basket
029454042,BUSCOPAN COMPOSITUM*20CPR RIV,19,695,11.42,4,4,1.11,t,t,HELD_rete_pos
