minsan;nome;categoria;prezzo;domanda_rete_30g;best_mercato
950306047;ALUNEB GEL NASALE 10ML;Naso;11.53;4.00;12.39
950221806;KUKIDENT PLUS BARRIERA A/CIBO;Accessori per protesi;10.40;4.00;11.44
021004015;BISOLVON*OS SOL FL 40ML 2MG/ML;Tosse;9.77;4.00;10.44
943303507;AFTAMED GEL 10ML;Patologie di bocca e labbra,Cavo orale;8.71;4.00;9.44
977703457;FLORMIDABIL DAILY 10BUST C/STE;Fermenti lattici;8.53;4.00;9.95
902659933;VEA LIPSTICK LIPOGEL LABB 10ML;Protettivi per labbra;8.07;4.00;9.16
922551229;CLIADENT COLLUT 0,15% 200ML;Collutori;7.10;4.00;7.77
970150227;LINES SPEC LADY MAXI 12PZ;Pannoloni;6.82;4.00;7.16
989409154;ISOMAR SPRAY NO GAS BABY 30ML;Naso,Infanzia;6.00;4.00;6.05
904926680;TIMODORE DETERGENTE DEODORANTE;Piedi;4.98;4.00;5.55
104918014;AMFLEE COMBO*1PIP GATTI/FURETT;;4.98;4.00;5.24
029816016;SODIO BICARB*50CPR 500MG;Antiacidi;3.94;4.00;3.76
930987591;ELMEX SPAZZ JUNIOR 6/12 NEW;Spazzolini;3.72;4.00;4.47
980501629;GUM EASY FLOSSERS FORCELLA30PZ;Accessori per la pulizia dei denti;3.67;4.00;3.68
983367172;CEROXMED TERMOMETRO AL GALLIO;Termometri;3.28;4.00;2.70
975190101;PIC VEDO FAMILY TERMO DIGITALE;Termometri;2.69;4.00;3.80
951140108;PHARMAMENTIS GARZA COTONE18X40;Bende e garze;2.18;4.00;7.12
030902047;SODIO CLORURO*0,9% FL 500ML PE;;1.80;4.00;1.65
939135733;ACCU-CHEK FASTCLIX 24LANC;Presidi,Test;1.76;4.00;2.14
906086881;CONTENITORE PIC FECI;Contenitori;0.29;4.00;0.52
902571532;SIR MEDS 20ML AGO G21 ECC;Aghi e siringhe;0.29;4.00;0.29
944950310;UTIVAL 14BUST;Apparato uro-genitale;24.15;3.00;22.00
926583345;KLEDAX BAMBINI GOCCE 50ML;Metabolismo;23.87;3.00;25.00
931483135;XFLOR 30BUST;Fermenti lattici;23.70;3.00;24.87
939152548;DAGA 30CPR;Tonici psico/fisici;20.70;3.00;22.99
981444490;AVENE TOLERANCE CONTROL BALS;Idratanti;19.94;3.00;20.01
935209852;EUMASTOS 30CPS;Apparato uro-genitale;17.84;3.00;20.31
987418225;AQUAVIS SHAMPOO ANTICAD 150ML;Topici;17.45;3.00;19.49
924526357;BIO OIL OLIO DERMAT 125ML;Corpo;16.49;3.00;18.65
939464448;CLIAGIN OVULI VAGINALI 10PZ 2G;Apparato uro-genitale;15.86;3.00;17.16
972071068;LIPIKAR LATTE 400ML;Idratanti;15.42;3.00;19.93
974382350;FASTIGOR 20BUST;Tonici psico/fisici;15.39;3.00;16.12
971041951;SALIPIL DETERGENTE CANOVA150ML;Viso;15.19;3.00;16.44
934028349;ESPERSOL 20F MONODOSE 5ML;Naso;15.08;3.00;16.31
980627208;PERLALUX GOCCE ORALI 5ML;Preparati;15.03;3.00;16.13
