sku,nome,click7,spesa7,qty7,rev7,marg7,inc_fatt_pct,categoria,is_civetta,pos,stock
036397014,REPARIL*GEL 40G 1%+5%,3,0.99,0,0.00,0.00,,0-vendite,t,2,25
978545299,ANGSTROM LATTE SPRAY 50+,3,0.99,0,0.00,0.00,,0-vendite,f,10,4
978598821,FOOTCARE CORR VALGO NTT2PZ D10,3,0.99,0,0.00,0.00,,0-vendite,t,4,0
951365206,LIPIKAR BAUME AP+MAX 400ML,3,0.99,0,0.00,0.00,,0-vendite,t,2,2
970175598,SERBLEND 60CPR,3,0.99,0,0.00,0.00,,0-vendite,t,3,0
908620646,"SAUGELLA GEL INTIMO PH5,5 30ML",3,0.99,0,0.00,0.00,,0-vendite,t,1,3
951269289,CITIZIN Q10 ORO 30STICK-PACK,3,0.99,0,0.00,0.00,,0-vendite,f,11,0
984518581,MICO REI 70CPS,3,0.99,0,0.00,0.00,,0-vendite,t,2,0
990076933,GLUTAVIX 20STICK PACK,3,0.99,0,0.00,0.00,,0-vendite,t,1,0
972321006,ISCHIA SPA CRIOGEL GAMBE STANC,3,0.99,0,0.00,0.00,,0-vendite,t,1,0
987859511,CICABIO CREME+ SPF50 40ML,3,0.99,0,0.00,0.00,,0-vendite,t,1,1
948186705,PRINCIPIUM COLLAGENE MAR 80CPR,3,0.99,0,0.00,0.00,,0-vendite,t,4,0
950279620,VAGISIL DETERGENTE SENS 500ML,3,0.99,0,0.00,0.00,,0-vendite,t,1,0
974400525,NATTURA MUESLI DI AVENA C/FRUT,3,0.99,0,0.00,0.00,,0-vendite,t,1,0
950836650,AVENE HYALURON A PROC SIER20ML,3,0.99,0,0.00,0.00,,0-vendite,t,1,5
901474751,COVERMARK LEG MAGIC 4 50ML,3,0.99,0,0.00,0.00,,0-vendite,t,1,0
935590974,POLIDENT LUNGA TENUTA 70G,3,0.99,0,0.00,0.00,,0-vendite,t,4,34
975922802,NUXE SUN LATTE DOPOS VI/C400ML,3,0.99,0,0.00,0.00,,0-vendite,f,5,0
925498014,EPITACT ORTESI MANO FLEX DX M,3,0.99,0,0.00,0.00,,0-vendite,t,3,0
925399673,DENAVASC 24CPR,3,0.99,0,0.00,0.00,,0-vendite,t,1,0
987838810,STEPPER DIG ORTOP POSTOP AV S,3,0.99,0,0.00,0.00,,0-vendite,t,1,0
017389103,"PREPARAZIONE H*UNG 1,08% 50G",3,0.99,0,0.00,0.00,,0-vendite,f,15,34
942790066,VARISAN ETHERE1520 AGPA PO3N,3,0.99,0,0.00,0.00,,0-vendite,t,1,0
950276713,GIBAUD ORTHO CORS LOMB ACT V 2,3,0.99,0,0.00,0.00,,0-vendite,t,2,0
989252679,SINERGIA OTI NF 60CPS,3,0.99,0,0.00,0.00,,0-vendite,t,1,0
990478378,FOTOULTRA REDNESS SPF50 50ML,3,0.99,0,0.00,0.00,,0-vendite,t,4,0
908620545,GIO' MUTANDINA CORRETTIVA 1,3,0.99,1.00,36.16,0.00,3,inc-marg>100,f,1,0
939025995,SPIRIAL EXTREME 20ML,3,0.99,0,0.00,0.00,,0-vendite,f,9,3
987252881,REUMATONIL COMPLEX COLL 18BUST,3,0.99,0,0.00,0.00,,0-vendite,t,4,0
943303279,GASTROVOM CANE GATTO GEL 50ML,3,0.99,0,0.00,0.00,,0-vendite,t,1,0
982893265,EXTRA DELICATO SH DERMO2X400ML,3,0.99,0,0.00,0.00,,0-vendite,t,1,26
951136338,ZINCOXIN 30CPR,3,0.99,0,0.00,0.00,,0-vendite,t,1,0
976282006,LIPOSKIN PRO PHARCOS 15F REWCA,3,0.99,0,0.00,0.00,,0-vendite,f,19,0
944435104,MITOFAST 30STICK OROSOLUBILI,3,0.99,0,0.00,0.00,,0-vendite,t,1,0
921232447,PESCURA FLAT ORIG BYCAST SAB42,3,0.99,0,0.00,0.00,,0-vendite,t,1,0
944779560,EUPH CREMA CORPO IDRAT 250ML,3,0.99,0,0.00,0.00,,0-vendite,t,1,1
951867338,GHC MEDICAL TRATT DS SH PURIF,3,0.99,0,0.00,0.00,,0-vendite,t,1,0
931375671,UOMO PROFUMO 100ML,3,0.99,0,0.00,0.00,,0-vendite,t,8,3
935543470,PEDIAPAX POLVERE 400G,3,0.99,0,0.00,0.00,,0-vendite,t,3,0
927290991,SYSTANE IDRATAZIONE UD COLL,3,0.99,0,0.00,0.00,,0-vendite,t,1,1
