minsan;nome;ord_12_25giu;ord_dopo_26;prezzo_venduto_pre;prezzo_ora;rincaro_pct;stato;pos_oggi;disponibile
021925060;PROCTOLYN*CR RETT 30G;10;2;7.55;8.44;11.8;DIMEZZATO;;SI
975431899;AVENE SOL SPRAY SPF50+ 200ML (scade 06/2;10;2;8.40;10.00;19.1;DIMEZZATO;;NO
031329030;GLICEROLO ZETA*6CONT 6,75G CAM;9;1;1.76;2.24;27.1;DIMEZZATO;;SI
974159446;COLILEN IBS 60OPR;9;1;15.64;17.20;10.0;DIMEZZATO;;SI
950059434;MIGLIORIN GELLULE 180CPS;9;2;49.69;58.38;17.5;DIMEZZATO;7;SI
947074023;RILASTIL SUN SYS BB SPR SPF50+;9;0;10.73;16.03;49.5;AMMUTOLITO;6;SI
987762352;REDEMASE 500 30CPS;8;1;17.77;20.51;15.5;DIMEZZATO;10;SI
902596939;GRANI LUNGAVITA FIUGGI 35G;8;0;1.75;1.91;9.3;AMMUTOLITO;;SI
012745168;TACHIPIRINA*30CPR DIV 500MG;8;3;5.67;6.23;10.0;DIMEZZATO;;SI
935688945;ARMOLIPID PLUS 60CPR;8;1;26.40;33.63;27.4;DIMEZZATO;;SI
978862326;ANTHELIOS SHAKA SPRAY 30 200ML;8;1;10.73;16.79;56.5;DIMEZZATO;3;SI
036193023;ESSAVEN*GEL 80G 10MG/G+8MG/G;8;3;8.74;10.11;15.7;DIMEZZATO;18;SI
913753758;IDEAL SOLEIL LATTE SPF30 300ML;7;2;10.11;18.24;80.4;DIMEZZATO;3;SI
941446306;NEUPROZIN MITO 28CPR;7;1;28.13;31.57;12.2;DIMEZZATO;9;SI
972003267;OPTIVE FUSION 10ML;7;2;12.55;16.94;34.9;DIMEZZATO;7;SI
975941636;ONETOUCH DELICA PLUS LANC200PZ;7;0;6.30;7.77;23.4;AMMUTOLITO;9;SI
989267657;PLAS BROMELINA 20STICK PACK;7;0;20.01;22.71;13.5;AMMUTOLITO;16;SI
947244618;CAROBIN PET FORTE 30CPR;7;0;13.91;15.21;9.4;AMMUTOLITO;12;SI
983760683;DP VITREO 30BUST;7;1;17.52;19.15;9.3;DIMEZZATO;4;SI
935669655;VITGASE 30CPR;7;2;16.41;18.87;15.0;DIMEZZATO;7;SI
